제품명,가격
MSI MAG A750GL 80PLUS 골드 풀 모듈러 ATX 3.0 (PCIE5),"111,000"
HOPELY 600JB LIGHT 벌크,"15,680"
(마이크로닉스) Classic II 600W +12V Single Rail 85+ /파워,"58,460"
"APC Back-UPS, BE700-KR [700VA / 405W]","205,930"
MSI MAG A850GL 80PLUS 골드 풀 모듈러 ATX 3.0 (PCIE5),"139,000"
(EPITECH) ENERGY OPTIMUS Mach III 500K v2.3,"31,370"
BABEL BM-600VP PFC Double Forward Silverbel Series (벌크),"37,960"
스카이디지탈 파워스테이션5 PS5-500EV 80PLUS Standard 벌크,"41,500"
에너지옵티머스 EXTREME 600W 85 벌크,"36,260"
EPITECH ENERGY OPTIMUS Mach III 600K v2.3,"34,700"
에너지옵티머스 EXTREME 700W 85+ 벌크,"44,100"
커세어 CORSAIR RM650i 80PLUS GOLD /파워,"150,800"
Antec SIGNATURE 1300W PLATINUM,"434,200"
(APC) BACK-UPS BK500EI /파워,"178,890"
(퍼스트큐브씨앤씨) First CUBE 620GX V2.3 /파워,"24,440"
Antec SIGNATURE 1000W TITANIUM,"434,200"
FSP HYDRO PTM X PRO 1200W PLATINUM 화이트 ATX 3.0,"344,250"
AONE STORM 700K 80PLUS BRONZE 벌크,"55,100"
마이크로닉스 WIZMAX 750W 80PLUS GOLD ATX3.0 (PCIE5),"93,000"
리안리 SP750 80PLUS GOLD (WHITE),"173,240"
써멀테이크 터프파워 GF3 850W GOLD 풀모듈러 ATX 3.0 (PCIE5),"222,850"
마이크로닉스 WIZMAX 850W 80PLUS GOLD ATX3.0 (PCIE5),"110,000"
리안리 SP750 80PLUS GOLD (BLACK),"173,240"
EVGA SUPERNOVA 750 GA 80PLUS GOLD,"125,800"
시소닉 S1M-162CGP2 1600W 80PLUS PLATINUM,"345,000"
ASUS ROG STRIX THOR 1600T,"934,660"
BABEL BM-700VP-F 700W 80Plus Bronze Blackbel Series (BOX),"59,280"
Antec HCG 850W 80PLUS GOLD 풀 모듈러,"199,600"
아이구주 TITAN GF-850 80PLUS GOLD Full Modular,"147,480"
커세어 CORSAIR RM1000e,"202,800"
DEEPCOOL PK800D 80Plus Bronze,"66,560"
MSI MAG A650BNL 80PLUS BRONZE,"57,000"
마이크로닉스 COOLMAX FOCUS II 800W ETA BRONZE,"74,490"
현대파워 VEGA ST-500W 벌크,"29,640"
MSI MAG A750BN 80PLUS BRONZE (PCIE5),"79,000"
마이크로닉스 COOLMAX FOCUS II 700W ETA BRONZE,"63,000"
현대파워 VEGA ST-600W 벌크,"34,320"
BABEL Sense 500PB V2.3 Blackbel Series,"17,680"
에너맥스 REVOLUTION D.F. X ERT850EWT 80Plus Gold Full Modular ATX 3.0,"143,230"
에너맥스 REVOLUTION D.F. 2 ERS850EWT 80Plus Gold Full Modular ATX 3.0,"138,510"
ASUS TUF Gaming 750W GOLD,"168,490"
(FSP) HYPER K 600W 80PLUS Standard 230V EU /파워,"60,000"
커세어 CORSAIR HX750 80PLUS PLATINUM,"195,530"
